BaseDateTime,LAT,LON,IMO
2023-01-05T00:00:01,30.04531,-90.54906,IMO8635734
2023-01-05T00:00:02,29.66132,-91.43489,IMO0623795
2023-01-05T00:00:02,46.15707,-123.40235,IMO8423806
2023-01-05T00:00:02,29.0194,-91.84426,IMO8980000
2023-01-05T00:00:02,29.03986,-92.92381,IMO8998148
2023-01-05T00:00:02,27.91519,-82.42639,IMO9312561
2023-01-05T00:00:02,32.0991,-81.01617,IMO9365336
2023-01-05T00:00:02,26.13399,-80.10925,IMO9415284
2023-01-05T00:00:02,17.93818,-65.80254,IMO9581942
2023-01-05T00:00:03,29.6195,-95.00004,IMO0000000
2023-01-05T00:00:03,29.21643,-90.22113,IMO8978722
2023-01-05T00:00:04,39.2802,-76.58179,IMO0000000
2023-01-05T00:00:04,29.93741,-90.34578,IMO1323487
2023-01-05T00:00:04,42.59363,-73.7587,IMO8964721
2023-01-05T00:00:04,28.21887,-89.07423,IMO9290610
2023-01-05T00:00:05,42.18095,-83.1353,IMO5102865
2023-01-05T00:00:06,49.26408,-123.65192,IMO7411143
2023-01-06T00:00:00,47.66709,-122.3908,IMO7427489
2023-01-06T00:00:00,32.83968,-117.38634,IMO9664988
2023-01-06T00:00:01,47.2531,-122.43393,IMO0000000
2023-01-06T00:00:01,47.54871,-88.35165,IMO8973033
2023-01-06T00:00:01,30.2826,-88.93631,IMO9559949
2023-01-06T00:00:01,28.23035,-89.6031,IMO9726217
2023-01-06T00:00:01,27.92868,-84.81764,IMO9753179
2023-01-06T00:00:02,29.65702,-94.97054,IMO5129095
2023-01-06T00:00:03,29.92894,-90.21719,IMO7237470
2023-01-06T00:00:03,29.07988,-89.28755,IMO9780964
2023-01-06T00:00:04,46.16849,-123.91405,IMO7520683
2023-01-06T00:00:04,47.66367,-122.39058,IMO8124230
2023-01-06T00:00:04,29.93306,-90.21659,IMO8850982
2023-01-06T00:00:05,41.81535,-71.40039,IMO8127505
2023-01-06T00:00:05,32.08184,-81.06538,IMO8972948
2023-01-06T00:00:05,25.56653,-79.27618,IMO9248332
2023-01-06T00:00:05,29.36825,-94.89153,IMO9694476
2023-01-06T00:00:05,24.42495,-80.29674,IMO9782974
2023-01-06T00:00:06,39.20249,-73.85864,IMO9333022
2023-01-06T00:00:07,28.45958,-93.27389,IMO9692650
2023-01-06T00:00:08,29.99206,-90.43709,IMO7902025
2023-01-06T00:00:08,41.29001,-72.90783,IMO9727663
2023-01-07T00:00:00,28.03523,-96.99736,IMO1281792
2023-01-07T00:00:00,30.33225,-88.51059,IMO8981418
2023-01-07T00:00:00,16.46062,-66.81817,IMO9285859
2023-01-07T00:00:00,38.96296,-73.99428,IMO9484948
2023-01-07T00:00:00,40.78883,-73.91898,IMO9648049
2023-01-07T00:00:00,25.77317,-80.17567,IMO9668790
2023-01-07T00:00:01,40.13884,-74.75478,IMO7338808
2023-01-07T00:00:01,41.58907,-71.40992,IMO7367407
2023-01-07T00:00:01,37.82848,-76.27861,IMO8305511
2023-01-07T00:00:01,43.13064,-79.19311,IMO9619282
2023-01-07T00:00:02,46.16846,-123.91406,IMO7520683
2023-01-07T00:00:02,40.63847,-74.15613,IMO8978497
2023-01-07T00:00:02,29.56208,-93.73587,IMO9369382
2023-01-07T00:00:02,29.86129,-93.93812,IMO9397406
2023-01-07T00:00:03,37.77148,-122.29936,IMO9083392
2023-01-07T00:00:03,29.34392,-94.75504,IMO9338852
2023-01-07T00:00:05,35.89395,-75.64316,IMO0000000
2023-01-07T00:00:05,34.13842,-76.91155,IMO8201090
2023-01-07T00:00:06,28.05437,-92.74772,IMO9408102
2023-01-07T00:00:06,38.76458,-74.61797,IMO9748007
2023-01-07T00:00:06,24.77101,-79.69464,IMO9839844
2023-01-07T00:00:07,47.64613,-122.43273,IMO0000000
2023-01-07T00:00:07,48.95541,-123.20799,IMO9750282
2023-01-08T00:00:00,33.71997,-118.28189,IMO0000000
2023-01-08T00:00:00,27.87727,-97.2653,IMO9178202
2023-01-08T00:00:00,33.77465,-118.21523,IMO9258791
2023-01-08T00:00:00,40.8021,-73.88498,IMO9501916
2023-01-08T00:00:00,20.71307,-158.03809,IMO9700029
2023-01-08T00:00:01,32.75989,-117.23905,IMO0000000
2023-01-08T00:00:01,29.38095,-89.59531,IMO7609477
